伝票日付,伝票区分,伝票区分名,委託区分,委託区分名,担当者コード,担当者名,得意先コード,得意先カナ,雑コード,送荷先コード,送荷先カナ,製品部品コード,製品部品カナ,級区分,数量,単価,金額,備考
20220914,10,　売上,0,,2541,柳井・内川（２）,413320,JAｻｶﾞ ﾋﾘﾖｳﾉｳﾔｸｶ,0,413205,JAｻｶﾞ ｶｾﾘﾕｳﾂｳｾﾝﾀｰ,2469301,ﾐﾉﾙ ｱｼｽﾄﾊﾞｲﾄﾞ(Sﾀｲﾌﾟ),1,300,1385,415500,9/13
20220914,10,　売上,0,,2321,長谷川（２）,483420,ﾔﾏﾋﾞｺ (ﾋﾛｼﾏ),0,610660,ﾔﾝﾏｰ ﾐﾜｼﾃﾝ,2477001,ﾊﾞｲﾝﾀﾞｰﾊﾞｲﾄﾞW,1,46,2065,94990,9/13
20220914,10,　売上,0,,2361,福田（２）,275420,ｸﾎﾞﾀ ｴﾋﾒ,0,608638,ﾁﾕｳｼｺｸｸﾎﾞﾀ ｳﾜ(ｴｲ),2477001,ﾊﾞｲﾝﾀﾞｰﾊﾞｲﾄﾞW,1,37,2145,79365,9/12
20220914,10,　売上,0,,2361,福田（２）,275420,ｸﾎﾞﾀ ｴﾋﾒ,0,608638,ﾁﾕｳｼｺｸｸﾎﾞﾀ ｳﾜ(ｴｲ),2473901,ﾐﾉﾙﾌｸﾄﾞﾖｳﾊﾞｲﾄﾞ,1,16,1240,19840,9/12
20220914,10,　売上,0,,2211,難波（２）,278820,ｸﾎﾞﾀ ｼｶﾞ(ｼﾖｳｹｲ),0,612111,ﾎｸﾘｸｷﾝｷｸﾎﾞﾀ ﾀｶﾞﾐ(ｴｲ),2477001,ﾊﾞｲﾝﾀﾞｰﾊﾞｲﾄﾞW,1,1,2265,2265,9/12
20220914,10,　売上,0,,2541,柳井・内川（２）,412520,ﾌｸｵｶｸﾎﾞﾀ ｻｶﾞ,0,602005,ﾌｸｵｶｷﾕｳｼﾕｳｸﾎﾞﾀ ｱﾘｱｹ(ｴｲ),2469301,ﾐﾉﾙ ｱｼｽﾄﾊﾞｲﾄﾞ(Sﾀｲﾌﾟ),1,996,1355,1349580,9/13
20220914,10,　売上,0,,2541,柳井・内川（２）,412520,ﾌｸｵｶｸﾎﾞﾀ ｻｶﾞ,0,602005,ﾌｸｵｶｷﾕｳｼﾕｳｸﾎﾞﾀ ｱﾘｱｹ(ｴｲ),2473901,ﾐﾉﾙﾌｸﾄﾞﾖｳﾊﾞｲﾄﾞ,1,1153,895,1031935,9/13
20220914,10,　売上,0,,2541,柳井・内川（２）,412520,ﾌｸｵｶｸﾎﾞﾀ ｻｶﾞ,0,602005,ﾌｸｵｶｷﾕｳｼﾕｳｸﾎﾞﾀ ｱﾘｱｹ(ｴｲ),2477001,ﾊﾞｲﾝﾀﾞｰﾊﾞｲﾄﾞW,1,40,1955,78200,9/13
20220914,10,　売上,0,,4971,有川（エクセル）,328840,ﾐﾄﾞﾘﾔ,0,328800, ,7103211,GB2856(ｷﾊﾞﾝｻﾞｲ)ｱﾅﾅｼ,1,30,1200,36000, 
20220914,10,　売上,0,,2231,竹内（２）,287820,ﾄｳｶｲｷﾝｷｸﾎﾞﾀ 1/2,0,287800, ,2500101,ﾎﾟﾂﾄ 324,1,-4,386,-1544,NO.77-285
20220914,10,　売上,0,,2221,浅井（２）,282120,ｶｺ ﾉｳｷｸﾞｼﾖｳｶｲ,0,282100, ,9700000,ｾｲﾋﾝ ｳﾝﾁﾝ,1,1,600,600, 
20220914,10,　売上,0,,4971,有川（エクセル）,302140,ｷﾖｳﾜｸﾞﾘｰﾝ,0,635021,ﾊｲﾌﾗﾜｰ,9700000,ｾｲﾋﾝ ｳﾝﾁﾝ,1,1,0,0, 
20220914,10,　売上,0,,2311,黒原（２）,325420,ﾔﾝﾏｰｱｸﾞﾘｼﾞﾔﾊﾟﾝ ﾏﾆﾜｼﾃﾝ,0,325400, ,9700000,ｾｲﾋﾝ ｳﾝﾁﾝ,1,1,500,500, 
20220914,10,　売上,0,,1311,黒原（１）,333210,ｼﾊﾞﾀ ｵｶﾔﾏｼﾃﾝ,0,612084,ﾑﾈｵｶ,9700000,ｾｲﾋﾝ ｳﾝﾁﾝ,1,1,500,500, 
20220914,10,　売上,0,,2311,黒原（２）,339420,ｸﾗｼｷｶﾜｶﾐﾉｳｷ,0,601679,ｸﾗｼｷｶﾜｶﾐﾉｳｷ ｺｳｼﾞﾖ(ｴｲ),9700000,ｾｲﾋﾝ ｳﾝﾁﾝ,1,1,500,500, 
20220914,10,　売上,0,,1371,槇野（１）,361010,ﾁﾕｳｼｺｸｸﾎﾞﾀ ﾄｸｼﾏ,0,610781,ﾁﾕｳｼｺｸｸﾎﾞﾀ ﾐﾉﾊﾞﾔｼ(ｴｲ),9700000,ｾｲﾋﾝ ｳﾝﾁﾝ,1,1,700,700, 
20220914,10,　売上,0,,4731,太田（やまびこ）,132340,ﾔﾏﾋﾞｺ,0,607941,JAｷﾐﾂｼ ｵﾋﾞﾂｾﾝﾀｰ,9700000,ｾｲﾋﾝ ｳﾝﾁﾝ,1,1,1000,1000, 
20220914,10,　売上,0,,1361,福田（１）,275210,ﾅｶﾞﾀｾｲｻｸｼﾖ ｼｺｸ,0,630627,ﾐﾂﾋﾞｼﾉｳｷ ﾐﾅﾐｴﾋﾒ(ｴｲ),9700000,ｾｲﾋﾝ ｳﾝﾁﾝ,1,1,700,700, 
20220914,10,　売上,0,,1111,牧野・井上（１）,97010,ﾓﾁﾂﾞｷ ｶﾝﾄｳｴｲｷﾞﾖｳﾌﾞ,0,639379,ｶﾄｳｹｲｼﾞﾛｳｼﾖｳﾃﾝ,9700000,ｾｲﾋﾝ ｳﾝﾁﾝ,1,1,1000,1000, 
20220914,10,　売上,0,,1241,吉田（１）,234010,ﾄｳｶｲﾌﾞﾂｻﾝ,0,601675,ｸﾗｷﾞ ｵﾜﾘﾃﾝ,9800000,ｷﾂﾃﾀﾞｲ(ｳﾁｾﾞｲ),1,1,510,510, 
20220914,10,　売上,0,,1531,立石（１）,406410,ﾊﾗﾀﾞｼﾖｳｶｲ,0,406400, ,9800000,ｷﾂﾃﾀﾞｲ(ｳﾁｾﾞｲ),1,1,120,120, 
20220914,10,　売上,0,,1241,吉田（１）,234010,ﾄｳｶｲﾌﾞﾂｻﾝ,0,612698,JAｱｲﾁﾐﾅﾐ ｱﾂﾐﾉｳｷｾﾝﾀｰ,9800000,ｷﾂﾃﾀﾞｲ(ｳﾁｾﾞｲ),1,1,220,220, 
20220914,10,　売上,0,,1241,吉田（１）,234010,ﾄｳｶｲﾌﾞﾂｻﾝ,0,603591,ｸﾗｷﾞ ﾋｻｲﾃﾝ,9800000,ｷﾂﾃﾀﾞｲ(ｳﾁｾﾞｲ),1,1,220,220, 
20220914,10,　売上,0,,1321,長谷川（１）,357010,ﾐｶｻｻﾝｷﾞﾖｳ,0,357003,ﾐｶｻｻﾝｷﾞﾖｳ ｾｲﾌﾞ(ｴｲ),9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,76,76, 
20220914,10,　売上,0,,1511,野元（１）,465110,ﾅｶﾔﾏ ｶｺﾞｼﾏｼﾃﾝ,0,612913,ﾔﾝﾏｰ ﾔﾏｶﾜ(ｴｲ),9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,171,171, 
20220914,10,　売上,0,,1221,浅井（１）,266510,ｵｳﾐﾔﾛｰﾌﾟ,0,262090,JAｷﾖｳﾄﾆﾉｸﾆ ｱﾔﾍﾞｾﾝﾀｰ,9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,1000,1000,ｼﾕｳﾘNO139
